year,river,run,lat,long,z_score_lat,day_of_yr
2008,Ayakulik,even,57.19558333,154.5353167,-0.397798652,222.417758
2008,Babine,even,55.32963611,126.6314611,-1.227415371,239.8951878
2008,George River,even,61.92531111,157.7014667,1.705080356,207.157068
2009,Auke Creek,odd,58.38052222,134.6422139,0.12903571,236.1324896
2009,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,234.0185254
2009,Kwethluk River,odd,60.50156389,161.1190611,1.072069687,208
2009,Olga Creek Upper Station,odd,57.05531944,154.3618972,-0.460161223,233.6247548
2009,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,220.5644352
2009,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,233.1667881
2009,Kanektok River,odd,59.7702,161.0668333,0.746898801,240.2193756
2009,Buskin,odd,57.77676111,152.5370806,-0.139401846,226.8399218
2009,Dog Salmon River,odd,57.12766667,154.0369861,-0.427995005,216.5017149
2009,Babine,odd,55.32963611,126.6314611,-1.227415371,238.3434164
2009,Chignik River,odd,56.25600556,158.7328278,-0.815543283,213.7303543
2009,George River,odd,61.92531111,157.7014667,1.705080356,203.9868772
2009,Bear River,odd,56.03693889,160.2689722,-0.91294227,222.5446624
2009,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,224.3033941
2009,North River,odd,63.53168,160.3948398,2.419286241,203.6687571
2009,Salmon River,odd,62.88924167,154.5371417,2.133652448,205.8709593
2009,Goodnews River,odd,59.16493333,161.4608611,0.477791862,215.0561487
2009,Karluk,odd,57.56256111,154.3904528,-0.23463707,239.8843874
2009,Deshka,odd,61.70486389,150.3226389,1.607067562,215.4878612
2009,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,208.2831665
2009,Litnik,odd,58.08005,152.8184972,-0.004556911,215.5432263
2009,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,209
2010,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,213
2010,Bear River,even,56.03693889,160.2689722,-0.91294227,206.3486499
